loc_index,x,y
9.000000000000000000e+01,7.982834609271524107e-01,-4.637355761589405378e-02
9.100000000000000000e+01,8.082830927152316880e-01,-4.708716158940397245e-02
9.200000000000000000e+01,8.182827245033112984e-01,-4.780076556291391887e-02
9.300000000000000000e+01,8.282823562913907978e-01,-4.851436953642385141e-02
9.400000000000000000e+01,8.382819880794701861e-01,-4.922797350993377008e-02
9.500000000000000000e+01,8.482816198675496855e-01,-4.994157748344371650e-02
9.600000000000000000e+01,8.582812516556291849e-01,-5.065518145695364904e-02
9.700000000000000000e+01,8.682808834437085732e-01,-5.136878543046358159e-02
9.800000000000000000e+01,8.782805152317880726e-01,-5.208238940397351413e-02
9.900000000000000000e+01,8.882801470198675720e-01,-5.279599337748344667e-02
1.000000000000000000e+02,8.982797788079470713e-01,-5.350959735099339309e-02
1.010000000000000000e+02,9.082794105960263487e-01,-5.422320132450331176e-02
1.020000000000000000e+02,9.182790423841060701e-01,-5.493680529801325818e-02
1.030000000000000000e+02,9.282786741721855694e-01,-5.565040927152319072e-02
1.040000000000000000e+02,9.382783059602648468e-01,-5.636401324503310939e-02
1.050000000000000000e+02,9.482779377483443461e-01,-5.707761721854305581e-02
1.060000000000000000e+02,9.582775695364238455e-01,-5.779122119205298835e-02
1.070000000000000000e+02,9.682772013245033449e-01,-5.850482516556292090e-02
1.080000000000000000e+02,9.782768331125828443e-01,-5.921842913907285344e-02
1.090000000000000000e+02,9.882764649006623436e-01,-5.993203311258278598e-02
1.100000000000000000e+02,9.982760966887416210e-01,-6.064563708609271853e-02
1.110000000000000000e+02,1.008275728476821120e+00,-6.135924105960265107e-02
1.120000000000000000e+02,1.018275360264900620e+00,-6.207284503311258361e-02
1.130000000000000000e+02,1.028274992052980119e+00,-6.278644900662253003e-02
1.140000000000000000e+02,1.038274623841059618e+00,-6.350005298013244870e-02
1.150000000000000000e+02,1.048274255629139118e+00,-6.421365695364239512e-02
1.160000000000000000e+02,1.058273887417218617e+00,-6.492726092715232766e-02
1.170000000000000000e+02,1.068273519205297895e+00,-6.564086490066226021e-02
1.180000000000000000e+02,1.078273150993377394e+00,-6.635446887417219275e-02
1.190000000000000000e+02,1.088272782781456893e+00,-6.706807284768212529e-02
1.200000000000000000e+02,1.098272414569536393e+00,-6.778167682119205784e-02
1.210000000000000000e+02,1.108272046357615892e+00,-6.849528079470199038e-02
1.220000000000000000e+02,1.118271678145695391e+00,-6.920888476821192292e-02
1.230000000000000000e+02,1.128271309933774891e+00,-6.992248874172186934e-02
1.240000000000000000e+02,1.138270941721854168e+00,-7.063609271523178801e-02
1.250000000000000000e+02,1.148270573509933890e+00,-7.134969668874173443e-02
1.260000000000000000e+02,1.158270205298013389e+00,-7.206330066225166697e-02
1.270000000000000000e+02,1.168269837086092666e+00,-7.277690463576159952e-02
1.280000000000000000e+02,1.178269468874172166e+00,-7.349050860927153206e-02
1.290000000000000000e+02,1.188269100662251665e+00,-7.420411258278146460e-02
1.300000000000000000e+02,1.198268732450330942e+00,-7.491771655629139715e-02
1.310000000000000000e+02,1.208268364238410664e+00,-7.563132052980132969e-02
1.320000000000000000e+02,1.218267996026490163e+00,-7.634492450331126223e-02
1.330000000000000000e+02,1.228267627814569440e+00,-7.705852847682119477e-02
1.340000000000000000e+02,1.238267259602648940e+00,-7.777213245033112732e-02
1.350000000000000000e+02,1.248266891390728439e+00,-7.848573642384107374e-02
1.360000000000000000e+02,1.258266523178807939e+00,-7.919934039735100628e-02
1.370000000000000000e+02,1.268266154966887438e+00,-7.991294437086092495e-02
1.380000000000000000e+02,1.278265786754966937e+00,-8.062654834437087137e-02
1.390000000000000000e+02,1.288265418543046437e+00,-8.134015231788080391e-02
1.400000000000000000e+02,1.298265050331125714e+00,-8.205375629139073645e-02
1.410000000000000000e+02,1.308264682119205213e+00,-8.276736026490066900e-02
1.420000000000000000e+02,1.318264313907284713e+00,-8.348096423841060154e-02
1.430000000000000000e+02,1.328263945695364212e+00,-8.419456821192053408e-02
1.440000000000000000e+02,1.338263577483443711e+00,-8.490817218543046663e-02
1.450000000000000000e+02,1.348263209271523211e+00,-8.562177615894041305e-02
1.460000000000000000e+02,1.358262841059602710e+00,-8.633538013245034559e-02
1.470000000000000000e+02,1.368262472847681988e+00,-8.704898410596026426e-02
1.480000000000000000e+02,1.378262104635761487e+00,-8.776258807947021068e-02
1.490000000000000000e+02,1.388261736423841208e+00,-8.847619205298014322e-02
1.500000000000000000e+02,1.398261368211920486e+00,-8.918979602649007576e-02
